,PLAYER,POSITION,RACE,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,Rk,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
222,Miles Plumlee, C,0,MIL/CHA,45,10.8,73,1.6,7.2,0,0,359,C,28,TOT,45,484,8.4,0.518,0,0.424,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,-0.1,0.5,0.5,0.045,-4.4,0.7,-3.6,-0.2
223,Mindaugas Kuzminskas, F,0,NY,68,14.9,79,1.2,3.7,0,0,250,SF,27,NYK,68,1016,12.4,0.533,0.455,0.184,5,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.8,0.4,1.2,0.055,-0.2,-2.5,-2.7,-0.2
224,Mindaugas Kuzminskas, F,NA,NY,1,2,0,0,0,0,0,250,SF,27,NYK,68,1016,12.4,0.533,0.455,0.184,5,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.8,0.4,1.2,0.055,-0.2,-2.5,-2.7,-0.2
225,Montrezl Harrell,F,1,HOU,58,18.3,126,2.2,5.7,0,6,175,C,23,HOU,58,1064,19.2,0.662,0.02,0.351,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1,4.1,0.183,0.8,0.2,0.9,0.8
226,Myles Turner,F,1,IND,81,31.4,262,3.2,4.9,0,1,436,C,20,IND,81,2541,18.5,0.585,0.132,0.349,6.2,19.6,13,6.6,1.5,5.9,9.5,19.5,4.3,3.7,8,0.151,-0.3,2.6,2.4,2.8
227,Nemanja Bjelica,F,0,MIN,65,18.3,154,2.4,6.2,1,0,47,PF,28,MIN,65,1190,11,0.526,0.497,0.171,5.5,18.6,12,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,0.059,-0.7,-0.4,-1.1,0.3
228,Nene Hilario, C,1,HOU,67,17.9,163,2.4,6.5,1,4,193,C,34,HOU,67,1198,18.9,0.63,0.023,0.496,8.6,17,12.8,8.6,2.2,2.6,13.1,19.7,2.5,1.6,4.1,0.165,-0.4,0.8,0.5,0.7
229,Nerlens Noel,F,1,DAL/PHI,51,20.5,126,2.5,5.8,0,1,329,C,22,TOT,51,1047,20.4,0.622,0.003,0.359,9.8,22.3,15.9,8.1,3.1,4,12.5,17.6,2.1,1.9,4,0.181,-0.5,3.7,3.2,1.4
230,Nick Collison, F,0,OKC,20,6.4,17,0.9,6.4,0,1,86,PF,36,OKC,20,128,12.9,0.622,0.043,0.348,7.8,19.1,13.4,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,0.145,-1.8,0,-1.8,0
231,Nick Young, G,1,LAL,60,25.9,137,2.3,4.2,0,5,480,SG,31,LAL,60,1556,14.1,0.588,0.665,0.142,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,3,0.2,3.2,0.098,2.7,-3.4,-0.7,0.5
232,Nicolas Batum,G,NA,CHA,64,31,72,1.1,1.7,0,0,32,SG,28,CHO,77,2617,15.8,0.529,0.415,0.291,1.9,18.4,10.1,27.7,1.6,1,15,22.3,1.7,2.8,4.6,0.084,0.7,0.6,1.2,2.1
233,Nicolas Brussino,F,0,DAL,54,9.6,43,0.8,4,0,0,62,SG,23,DAL,54,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.6,0.055,-1.7,0.7,-1,0.1
234,Nicolas Brussino,F,NA,ATL,4,2.5,0,0,0,0,0,62,SG,23,DAL,54,521,10.7,0.498,0.674,0.156,5.5,16.2,10.6,13.9,1.7,1.4,14.7,16,0,0.6,0.6,0.055,-1.7,0.7,-1,0.1
235,Nicolas Laprovittola, G,0,SA,18,9.7,19,1.1,5.2,0,0,253,PG,27,SAS,18,174,8.4,0.579,0.574,0.191,0.7,5.7,3.3,23,1.2,0.5,27.2,18.2,0,0.2,0.2,0.044,-2.5,-2.4,-4.9,-0.1
