,PLAYER,POSITION,RACE,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,Rk,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
283,Stephen Zimmerman, C,0,ORL,19,5.7,17,0.9,7.6,0,0,484,C,20,ORL,19,108,7.3,0.346,0,0.161,10.8,24.9,17.6,5.3,0.9,3.7,8.3,14.8,-0.1,0.1,0,-0.005,-7.8,0.4,-7.3,-0.1
284,Steven Adams, C,0,OKC,80,29.9,195,2.4,3.9,0,5,3,C,23,OKC,80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.7,1.2,0.6,1.5
285,Taj Gibson,F,1,CHI/OKC,78,25.5,163,2.1,3.9,0,9,153,PF,31,TOT,78,1989,15,0.543,0.018,0.223,8.6,17.9,13.2,5.9,1,2.6,11.9,19.3,1.6,2.5,4,0.097,-2.4,0.3,-2.1,-0.1
286,Tarik Black, C,1,LAL,67,16.3,173,2.6,7.6,0,1,48,C,25,LAL,67,1091,15,0.56,0.007,0.371,13.9,20.7,17.2,5.3,1.3,3.3,14.5,15.7,1.5,0.8,2.4,0.105,-1.8,0.2,-1.6,0.1
287,Thomas Robinson, F,1,LAL,48,11.7,76,1.6,6.5,0,2,380,PF,25,LAL,48,560,17.3,0.535,0.005,0.337,15.8,28.1,21.8,8.8,2.3,1.3,17,20.7,0.3,0.6,0.9,0.079,-2.2,-0.1,-2.3,0
288,Thon Maker,F,1,MIL,57,9.9,84,1.5,7.2,0,0,281,C,19,MIL,57,562,14,0.558,0.409,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.8,0.5,1.3,0.113,-0.5,-1,-1.5,0.1
289,Tiago Splitter, C,0,PHI,8,9.5,8,1,5.1,0,0,411,C,32,PHI,8,76,15,0.544,0.194,0.355,11.6,20.3,15.9,8.9,0.6,1,14.3,23.9,0.1,0.1,0.1,0.072,-2.6,-2.5,-5,-0.1
290,Tim Frazier,G,1,NO,65,23.5,133,2,4.2,0,1,140,PG,26,NOP,65,1525,12.4,0.504,0.317,0.319,2.3,9.7,6,31.4,1.8,0.3,18,16.3,1,1.4,2.4,0.075,-1.5,-0.7,-2.2,-0.1
291,Tim Quarterman, G,1,POR,16,5,6,0.4,3.6,0,0,368,SG,22,POR,16,80,10.2,0.511,0.448,0.103,5.5,13.9,9.7,21.1,1.2,3,26.6,22.8,-0.1,0.1,-0.1,-0.044,-4,-0.8,-4.8,-0.1
292,Timofey Mozgov, C,0,LAL,54,20.4,133,2.5,5.8,1,3,314,C,30,LAL,54,1104,12.3,0.553,0.003,0.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,0.7,0.4,1.1,0.048,-2.8,-0.8,-3.6,-0.4
293,Timothe Luwawu-Cabarrot,G,1,PHI,69,17.2,154,2.2,6.2,1,0,276,SF,21,PHI,69,1190,8.5,0.536,0.446,0.341,2.3,11.5,6.9,9.6,1.3,0.7,15,17.8,0,0.8,0.8,0.034,-2.8,-1.2,-4,-0.6
294,Tomas Satoransky,G,0,WSH,57,12.6,60,1.1,4,0,0,393,SG,25,WAS,57,719,8.5,0.477,0.252,0.224,3.9,9.1,6.5,16.7,1.8,0.7,19,12.1,0.1,0.5,0.6,0.04,-2.9,-0.2,-3.1,-0.2
295,Toney Douglas,G,1,MEM,24,16.4,50,2.1,6.1,0,0,113,PG,30,MEM,24,394,10.6,0.451,0.359,0.248,3.7,14.3,8.9,22.2,2.4,1.2,13.9,17.4,0,0.5,0.5,0.059,-2.2,1,-1.2,0.1
296,Tony Allen,G,1,MEM,71,27,178,2.5,4.5,0,1,9,SG,35,MEM,71,1914,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,0.077,-1.8,2.4,0.6,1.3
297,Treveon Graham,G,1,CHA,27,7,18,0.7,4.6,0,0,160,SG,23,CHO,27,189,10.6,0.612,0.375,0.375,2.9,10,6.4,4.7,1.6,0.5,6,11.8,0.3,0.2,0.4,0.108,-1.5,-1.3,-2.8,0
298,Trey Burke,G,1,WSH,57,12.3,54,0.9,3.7,0,0,64,PG,24,WAS,57,703,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-2.3,-3.4,-5.7,-0.7
299,Tristan Thompson,F,1,CLE,78,29.9,176,2.3,3.6,0,3,428,C,25,CLE,78,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,7.3,0.149,0,1.5,1.5,2
300,Troy Daniels,G,1,MEM,67,17.7,90,1.3,3.7,0,1,99,SG,25,MEM,67,1183,10.4,0.531,0.717,0.109,2.1,7.8,4.8,6.6,0.9,0.3,8,21.7,0.5,0.8,1.3,0.051,0.4,-3.5,-3.1,-0.3
301,Troy Williams, F,1,HOU/MEM,30,18.6,60,2,5.2,0,0,470,SF,22,TOT,30,557,9,0.511,0.371,0.192,3,11.2,7,7,2.5,1.7,15,17.1,-0.3,0.7,0.4,0.032,-3.3,0.6,-2.7,-0.1
302,Ty Lawson, G,1,SAC,69,25.1,119,1.7,3.3,0,0,256,PG,29,SAC,69,1732,15.4,0.551,0.226,0.416,3,8.9,6,29.9,2.2,0.3,17.3,19.5,2.2,1,3.2,0.088,0.2,-1.5,-1.3,0.3
303,Tyler Ennis, G,1,HOU/LAL,53,11.1,58,1.1,4.7,0,0,126,PG,22,TOT,53,588,10.9,0.521,0.337,0.12,1.6,6.8,4.2,21.7,2.1,0.3,17,19.1,0.1,0.3,0.4,0.031,-2.2,-2.8,-4.9,-0.4
304,Tyler Johnson,G,0,MIA,73,29.8,176,2.4,3.9,0,1,231,PG,24,MIA,73,2178,15.9,0.535,0.303,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,3.1,2.7,5.8,0.128,0.7,0.8,1.5,1.9
305,Tyler Ulis, G,1,PHX,61,18.4,73,1.2,3.1,1,1,438,PG,21,PHO,61,1123,13,0.474,0.181,0.162,1.9,7.5,4.6,30.5,2,0.4,14.1,20.3,0.3,0.4,0.7,0.029,-1.5,-2.5,-4,-0.6
306,Tyler Zeller, C,0,BOS,51,10.3,61,1.2,5.6,0,0,483,C,27,BOS,51,525,13,0.508,0.006,0.247,9.2,17,13.2,12.2,0.7,3.3,10.2,16.5,0.5,0.6,1,0.094,-3.3,0.8,-2.5,-0.1
307,Tyreke Evans,G,1,NO/SAC,40,19.7,60,1.5,3.7,0,0,127,SF,27,TOT,40,788,15.5,0.501,0.319,0.249,1.8,17.2,9.5,25.9,2.2,1,12.9,26.7,-0.2,0.9,0.7,0.045,-0.7,-0.1,-0.9,0.2
308,Tyson Chandler, C,1,PHX,47,27.6,126,2.7,4.7,1,4,77,C,34,PHO,47,1298,16.6,0.703,0,0.544,12.5,33.2,22.6,3.3,1.2,1.5,18.7,11.2,2.7,1.3,4.1,0.151,-0.7,0.3,-0.3,0.5
309,Udonis Haslem,F,1,MIA,16,8.1,22,1.4,8.1,0,0,183,C,36,MIA,16,130,8.8,0.524,0.13,0.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,0,0.2,0.2,0.074,-4.7,1.5,-3.2,0
310,Victor Oladipo,G,1,OKC,67,33.2,155,2.3,3.3,0,0,339,SG,24,OKC,67,2222,13.6,0.534,0.378,0.165,1.9,12.6,7.2,12.5,1.7,0.8,10.6,21.4,1.7,2.3,4,0.085,-0.4,-0.9,-1.3,0.4
311,Vince Carter,G,1,MEM,73,24.7,163,2.2,4.3,0,4,73,SF,40,MEM,73,1799,11.7,0.542,0.604,0.235,2.2,12.5,7.2,11.5,1.7,1.9,8.5,14.9,1.9,2.1,4,0.106,0.1,0.9,1,1.4
312,Wayne Selden,G,1,NO/MEM,14,16.9,18,1.3,3.7,0,0,398,SG,22,TOT,14,236,6.9,0.525,0.483,0.379,0.5,7.2,3.8,8.5,1.3,0.4,15.1,15.3,-0.1,0.2,0.1,0.016,-3.4,-1.6,-5,-0.2
313,Wesley Johnson,F,1,LAC,68,11.9,83,1.2,4.9,0,0,232,SF,29,LAC,68,810,8.4,0.448,0.59,0.085,3.7,20.8,12.5,3.9,1.8,3,8,12.5,-0.3,1.2,0.9,0.051,-3.4,1.6,-1.8,0
314,Wilson Chandler,F,1,DEN,71,30.9,172,2.4,3.8,0,1,78,SF,29,DEN,71,2197,14.9,0.545,0.347,0.207,5.2,17.8,11.6,9.8,1.1,1.1,10,22,2.4,1.1,3.5,0.077,0.5,-1.4,-0.9,0.6
315,Yogi Ferrell,G,1,DAL/BKN,46,26,90,2,3.6,0,0,135,PG,23,TOT,46,1197,13.1,0.533,0.447,0.226,1.8,9.2,5.3,23.2,1.8,0.7,13.9,19.6,0.8,1,1.8,0.072,-0.1,-0.6,-0.7,0.4
316,Zaza Pachulia, C,0,GS,70,18.1,166,2.4,6.3,3,3,344,C,32,GSW,70,1268,16.1,0.588,0.007,0.41,12.9,22,17.7,13.6,2.2,2,19.4,15.3,2.3,2.5,4.7,0.178,-0.3,3,2.7,1.5
